2015-10-11 18:49:47,401 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:49:47,402 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:50:06,488 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:50:06,488 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:50:06,489 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:50:06,489 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:50:26,692 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:50:26,693 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:50:26,693 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:50:26,694 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:55:23,845 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zgsoft.tutorials:zgsoft-tutorials-rest-dubbo:0.0.1-SNAPSHOT @ /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rest-dubbo/pom.xml.
2015-10-11 18:55:35,646 [Worker-32] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rest-dubbo
2015-10-11 18:55:35,646 [Worker-32] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2015-10-11 18:58:15,737 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zgsoft.tutorials:zgsoft-tutorials-rest-dubbo:0.0.1-SNAPSHOT @ /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rest-dubbo/pom.xml.
2015-10-11 19:01:10,768 [Worker-36] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zgsoft.tutorials:zgsoft-tutorials-rest-dubbo:0.0.1-SNAPSHOT @ /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rest-dubbo/pom.xml.
2015-10-11 19:01:31,102 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zgsoft.tutorials:zgsoft-tutorials-rest-dubbo:0.0.1-SNAPSHOT @ /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rest-dubbo/pom.xml.
2015-10-11 19:01:31,235 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 19:01:31,235 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 19:01:31,236 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 19:01:31,236 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 19:01:32,426 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 19:01:32,427 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 19:01:32,427 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 19:01:32,428 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
